ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,15,638,452.0,84.0,1.1294050645063738,0.71135684288874534,1.0,0.6058879392212726,0.65589524537045929,35.066311490003962,38.832975677895199,11.313708498984761,4.2606196959080362,3.6055512754639891,25.830635289458399,24.645691457217175,8.9834359537074775,110.56000000000004,0.88060731538992409,453.34169278996865,83.982758620689651,15
1,16,145,718.0,87.0,1.1478106122088039,0.67104291444986974,1.0,0.57539682539682535,0.54741483902263965,16.6027229785035,17.029386365926403,4.4721359549995796,2.0807899135976609,2.0,11.938197014005318,12.309566132620093,-2.7675996496614168,57.694000000000017,0.83573487031700289,716.15862068965521,85.572413793103451,16
1,17,101,729.0,89.0,1.017493272123084,0.2519241755761743,1.0,0.70138888888888884,0.71820288625418627,11.692227454386471,11.401754250991379,5.0990195135927845,2.1279171787417592,2.0,10.435516278555651,11.315117762913726,8.185387030482465,42.038000000000011,0.87826086956521743,728.39603960396039,88.732673267326732,17
1,18,348,433.0,96.0,1.2588002659299771,0.83949880880825789,1.0,0.61375661375661372,0.69331299836763349,29.38674186016183,27.313000567495326,7.0,3.186197186806845,3.0,15.918233693925536,15.967624957348468,67.048029992155179,79.42000000000003,0.87989886219974689,431.35632183908046,91.764367816091948,18
1,19,233,742.0,95.0,1.1141540705026649,0.7597192157931606,1.0,0.69345238095238093,0.80391704374185247,21.611116829047482,21.540659228538015,7.0710678118654755,2.9542958186094284,2.8284271247461903,13.717221371770675,14.052656147888305,-27.873861235327027,60.350000000000023,0.93574297188755029,743.81115879828326,94.618025751072963,19
1,20,230,421.0,103.0,1.145763396156763,0.79298845560579101,1.0,0.7142857142857143,0.68543556394095306,22.178757827991625,22.090722034374522,6.7082039324993694,2.8806727011762359,2.8284271247461903,12.987519997123226,13.51211236733873,89.156876870991624,64.936000000000021,0.91089108910891092,420.96521739130435,99.799999999999997,20
1,21,260,446.0,101.0,1.2562767148957688,0.84380863146246132,1.0,0.74285714285714288,0.66473424988059138,25.462067759384066,24.186773244895647,6.324555320336759,2.8362012969778756,2.8284271247461903,13.0,13.664070889985217,6.5299194148129898,70.108000000000018,0.89655172413793105,449.9153846153846,101.3923076923077,21
1,22,90,812.0,101.0,1.0194188046327566,0.49669725147886706,1.0,0.74380165289256195,0.81683254581092268,11.615930268856134,11.661903789690601,5.0,2.1485788623450612,2.0,9.1923881554251174,10.081743127552144,-45.213302361526956,37.210000000000008,0.91836734693877553,812.4666666666667,101.41111111111111,22
1,23,408,754.0,106.0,1.2225427342044202,0.76984040190302128,1.0,0.68227424749163879,0.65579636631988047,30.077672168100573,29.410882339705484,8.9442719099991592,3.3964934243779656,3.0,21.146326472644635,19.196666461164984,-60.061522040373752,88.42000000000003,0.87179487179487181,755.27941176470586,103.46078431372548,23
1,24,298,771.0,103.0,1.1359967140315901,0.76164753548887987,1.0,0.67573696145124718,0.79196112665088991,24.688548637301384,24.839484696748443,7.810249675906654,3.2307373995210877,2.9142135623730949,15.531605494306415,15.997970571308935,-40.234388579071641,68.764000000000024,0.9536,771.60402684563758,103.33557046979865,24
