,standard deviation,noise value,final diff,solving time,objective value
73,0.01,0.005602251046828752,0.005602251046828752,107.04723000000013,0.1058553173036242
74,0.01,0.007418971302091916,0.007418971302091916,70.86698400000023,0.10897876539679813
75,0.01,0.00647844420732019,0.00647844420732019,24.733589000001302,0.11147007451659979
76,0.01,0.0063512165808933835,0.0063512165808933835,228.12900699999955,0.0154083120462673
77,0.01,0.008255235345698693,0.008255235345698693,45.651912000001175,0.09833302920393654
78,0.01,0.006770758606113788,0.006770758606113788,171.90037200000006,0.08272458636593258
79,0.01,0.004167407452652856,0.004167407452652856,351.80381599999964,0.07608446402497195
80,0.01,0.007931604642693608,0.007931604642693608,99.81126700000095,2.3085441331164478e-05
81,0.01,0.007780710655771603,0.007780710655771603,577.7233620000006,0.00014790273740340623
82,0.01,0.00729088753253253,0.00729088753253253,59.83957499999997,1.3749611344354868e-05
83,0.01,0.007038943039359242,0.007038943039359242,186.05027100000007,0.07676237904138473
84,0.01,0.006615025596714015,0.006615025596714015,162.86001000000033,1.3491971104922164e-05
85,0.01,0.007419373165800455,0.007419373165800455,75.46208300000035,0.09919664513121687
86,0.01,0.006115078475598687,0.006115078475598687,30.655483999998978,0.09033448960633406
87,0.01,0.004517795581142773,0.004517795581142773,78.58603700000094,0.07576734361229194
88,0.01,0.005602792217844741,0.005602792217844741,170.44719599999917,0.0683209788034157
89,0.01,0.006725269156881604,0.006725269156881604,55.96407299999919,2.8284659905426672e-05
90,0.015,0.00869469028923657,0.00869469028923657,153.6290140000001,0.09314135433169901
91,0.015,0.011759799806895755,0.011759799806895755,50.14029300000038,0.12859445224131877
92,0.015,0.00915429280842101,0.00915429280842101,73.7031449999995,0.10882801970227662
93,0.015,0.0072630008617192,0.0072630008617192,24.52505100000053,0.10704328848733806
94,0.015,0.011554667020626061,0.011554667020626061,150.03766799999903,0.1054942979722935
95,0.015,0.011664956377662487,0.011664956377662487,83.64026299999932,2.343263908854965e-05
96,0.015,0.010761726723494876,0.010761726723494876,667.3606840000011,0.0002327888459575743
97,0.015,0.01333609759592521,0.01333609759592521,80.28343500000119,0.11462793709038993
98,0.015,0.011632443194815833,0.011632443194815833,118.956513000001,0.09869342238968065
99,0.015,0.011480291574507655,0.011480291574507655,67.95384999999987,0.12055970902878974
100,0.015,0.011018168402881747,0.011018168402881747,25.393159000001106,0.11204297173347598
101,0.015,0.009263040565184745,0.009263040565184745,46.607820000001084,0.1130933159201092
102,0.015,0.011820624567745136,0.011820624567745136,193.8740369999996,0.00803314319699158
103,0.015,0.013728318207594322,0.013728318207594322,548.5316270000003,0.00013375086196323218
104,0.015,0.009657736876339973,0.009657736876339973,16.59405599999991,0.09642292579811587
105,0.015,0.008553529983705283,0.008553529983705283,52.07087900000079,0.11432809730980448
106,0.015,0.01039564943826304,0.01039564943826304,772.4790619999985,0.00010768628984820188
107,0.015,0.012367118909120622,0.012367118909120622,604.8308679999991,0.0001604521793861892
108,0.015,0.008430459406315833,0.008430459406315833,94.92321599999923,0.0126934345344945
109,0.015,0.01072164130173156,0.01072164130173156,154.45032100000026,0.09446268041093896
110,0.015,0.011216641122309605,0.011216641122309605,109.30358100000012,2.4986402280368797e-05
111,0.015,0.009069199304099643,0.009069199304099643,49.63674099999844,0.1178219892254731
112,0.015,0.00796644435195532,0.00796644435195532,95.75289699999848,1.8921256192601314e-05
113,0.015,0.011998435572314376,0.011998435572314376,497.15965399999914,8.053594448266387e-05
114,0.015,0.010789448250011446,0.010789448250011446,730.4238830000031,0.0002052364203537133
115,0.015,0.011351323595575722,0.011351323595575722,47.9397919999974,0.11465489523978234
116,0.015,0.011643502027798553,0.011643502027798553,93.59175999999934,1.7022290958871543e-05
117,0.015,0.009627622793114562,0.009627622793114562,127.02219800000239,0.044043551476273674
118,0.015,0.009813171384183717,0.009813171384183717,45.822369999998045,0.09697511554502199
119,0.015,0.012186972546530821,0.012186972546530821,106.24586500000078,0.059837777771544205
120,0.02,0.013685704953049254,0.013685704953049254,50.73553299999912,0.11769386853235712
121,0.02,0.012110412478281688,0.012110412478281688,78.57268699999986,0.09801475217193048
122,0.02,0.010858032394702873,0.010858032394702873,59.28963999999905,0.08631072357900156
123,0.02,0.011003280462022163,0.011003280462022163,685.144526,0.00011355598824172908
124,0.02,0.0138326968333901,0.0138326968333901,88.6231140000018,0.08462589446389232
125,0.02,0.01117338386391491,0.01117338386391491,114.88021099999969,0.09696673124308226
126,0.02,0.01264742280705882,0.01264742280705882,55.01869400000214,0.10949747572438648
127,0.02,0.01584377893991947,0.01584377893991947,133.12103900000147,0.07713733425325113
128,0.02,0.013069798244665472,0.013069798244665472,64.98888599999918,0.07244904930594681
129,0.02,0.014731965506679554,0.014731965506679554,131.97805499999959,0.09524812199985934
130,0.02,0.012352413816586333,0.012352413816586333,44.59978599999886,0.01773782832886196
131,0.02,0.014989719892482937,0.014989719892482937,70.9467939999995,0.07199607041625301
132,0.02,0.012885061661545065,0.012885061661545065,61.96442699999898,1.565843239498564e-05
133,0.02,0.014634703068262093,0.014634703068262093,586.2300759999998,0.00019754691277213185
134,0.02,0.012935771183880684,0.012935771183880684,74.39878399999725,0.0859573612380853
135,0.02,0.013775299413066606,0.013775299413066606,47.60584200000085,0.10458255524763112
136,0.02,0.01741370474963646,0.01741370474963646,71.71051799999987,0.12084707525087537
137,0.02,0.012698268800349494,0.012698268800349494,22.228187000000617,0.12777424357042394
138,0.02,0.01506933521266529,0.01506933521266529,232.60605600000054,0.0001526606860086486
139,0.02,0.014530193616863092,0.014530193616863092,111.89459600000191,1.4911072968360368e-05
140,0.02,0.014831915388127241,0.014831915388127241,41.68361900000309,0.11933335926866591
141,0.02,0.014339801458887394,0.014339801458887394,34.09589899999992,0.09419420843262503
142,0.02,0.011546184758029735,0.011546184758029735,125.9382399999995,0.037333578953843954
143,0.02,0.011808302568617833,0.011808302568617833,74.47273700000005,0.07545865857970374
144,0.02,0.01429233577808256,0.01429233577808256,77.92091500000242,0.09552337916827226
145,0.02,0.011774220134514252,0.011774220134514252,62.70738299999721,0.00379583432825306
146,0.02,0.01478780048218165,0.01478780048218165,537.1989060000014,7.918195854823498e-05
147,0.02,0.014940455377984661,0.014940455377984661,75.67487999999867,0.12856365747477044
148,0.02,0.011869581841808497,0.011869581841808497,594.8320390000008,0.00011859220473714407
149,0.02,0.012441646429644562,0.012441646429644562,47.91385899999659,0.13759962221917035
150,0.025,0.017545045593013783,0.017545045593013783,77.73637500000041,1.130516407736305e-05
151,0.025,0.01997554839272562,0.01997554839272562,508.7191010000024,8.461516524447586e-05
152,0.025,0.0209583682072284,0.0209583682072284,65.71746899999926,0.13120055827788313
153,0.025,0.01747441681752722,0.01747441681752722,50.03187400000024,0.12582043117320452
154,0.025,0.013820821941774338,0.013820821941774338,46.64513200000147,0.09420894272974058
155,0.025,0.015298075021198343,0.015298075021198343,97.21425199999794,0.10419402974545453
156,0.025,0.017709431079728086,0.017709431079728086,16.947572999997647,0.0917737419633239
157,0.025,0.01668098064003002,0.01668098064003002,130.87489199999982,4.5316591706308955e-05
158,0.025,0.014525979104112513,0.014525979104112513,89.37244599999758,6.137384700753744e-05
159,0.025,0.021799029269452576,0.021799029269452576,654.536548,0.00020981633795374006
160,0.025,0.018310613568204244,0.018310613568204244,87.87511599999925,0.1172916449055185
161,0.025,0.01728627791687523,0.01728627791687523,389.6790209999999,3.67666827084572e-05
162,0.025,0.017073827333478904,0.017073827333478904,547.0274979999995,0.00010236920029335513
