,index,standard deviation,mean gap,nb non zero gap,max gap,solving time,objective value
101,1,0.00375,0.0035498409212275516,48,0.011106836119813501,503.15490000000864,0.0001846631184159204
102,2,0.00375,0.0009882425533179612,48,0.0031829854865206408,57.582918999993126,0.00024781108964854625
103,3,0.00375,0.001959907103037431,48,0.007875418982114205,297.29177000001073,0.0002113520350868033
104,4,0.00375,0.002308770450356549,48,0.005829203286853171,397.2321910000028,7.41296290548727e-05
105,5,0.00375,0.003349259994150517,48,0.013664109802959831,340.86392299999716,0.000154905235764504
106,6,0.00375,0.001780171826789366,48,0.006793531763648726,61.43375700000615,0.0001666329965167469
107,7,0.00375,0.0015124772939258053,48,0.004966549970832117,166.09799900000507,0.00027570171548747325
108,8,0.00375,0.0005932504770014593,48,0.003183939771821548,47.59410799999023,0.00034619382187888104
109,9,0.00375,0.0017395577955642341,48,0.005226651804884706,100.49936099999468,0.00032575887918888445
110,10,0.00375,0.0010036022584945415,48,0.0035301916049773376,156.11853999999585,0.00017613467625049738
111,11,0.00375,0.001841330071604299,48,0.007233120908066024,342.53253800001403,0.00022613775346317768
112,12,0.00375,0.002248086456234684,48,0.00974673441885663,953.6005709999881,0.000214112128545388
113,13,0.00375,0.0025067475175454958,48,0.00844843843171432,484.18016800000623,0.00014135361972948384
114,14,0.00375,0.0008512365245695415,48,0.003183580663552373,67.04469100000279,0.00018872114590497496
115,15,0.00375,0.0017659717660299448,48,0.006314394682045206,233.30033899999398,0.00011164446182087918
116,16,0.00375,0.0028369365183887264,48,0.009473623068714826,321.5170539999963,0.000135567104920645
117,17,0.00375,0.004443979001707849,48,0.01931404491125875,2376.316724999997,0.00011705775505450197
118,18,0.00375,0.0035115350797406113,48,0.012701555296351093,628.7176420000033,0.00020062138163354015
119,19,0.00375,0.0017604601348415485,48,0.006986702025544016,209.38023400001111,0.00012487790837017464
120,20,0.00375,0.002580320176202197,48,0.010420214634081534,100.17437300000165,8.13345033146222e-05
121,21,0.00375,0.001601758310124442,48,0.006827561344948531,187.65301300000283,8.54698597084227e-05
122,22,0.00375,0.001740538311174166,48,0.004613561885737265,85.31629000000248,2.5797178343496984e-05
123,23,0.00375,0.0026802142146593855,48,0.009612242171008159,277.092392999999,2.722446282181141e-05
124,24,0.00375,0.0021718246316575086,48,0.008795095494955808,373.1115970000101,9.067895260425129e-05
125,25,0.00375,0.0020196080689349498,48,0.006608380796887643,324.6357449999923,0.00022211280242989272
126,26,0.00375,0.0012830032757315884,48,0.005585728718033469,50.2906709999952,0.0001597010084267836
127,27,0.00375,0.004578341267919538,48,0.016994693226347113,2255.8964080000005,0.00011054522287003621
